SR NO,WARD/SAMPARK NAME,RESIDENTIAL_COUNT,RESIDENTIAL_ ARV,NON _RESIDENTIAL_ COUNT,NON_ RESIDENTIAL _ARV,OPEN_ PLOT_ COUNT,OPEN_ PLOT_ ARV,MIX_ COUNT,MIX_ ARV,TOTAL_ COUNT,TOTAL_ ARV,ARREARS _TILL_ 31_ MAR_ 2016,ORIGINAL_ DEMAND_2016-17,PENALTY_ AMOUNT,INCREASED_ DEMAND_ AMOUNT,COLLECTION_ 2016-17
1,Aundh,57546,497729079,5351,311356275,2772,101835377,421,26798735,66090,937719466,1052421059,927046054,265313267,233968486,1170817768
2,Baner,18231,156465190,2165,147569000,3623,57344876,184,17152650,24203,378531716,416745090,273932594,119949560,210534670,422132158
3,Bhavani Peth,15930,54873837,6047,79080511,124,685877,1327,12372180,23428,147012405,373107522,157765160,111491157,106799756,253611818
4,Bibwe Wadi,58199,344029717,8326,164664224,2604,76154486,756,32625387,69885,617473814,1078674032,636706929,307814631,206611976,837528067
5,Chandan Nagar,9102,42568061,672,22568000,636,9350690,520,9660317,10930,84147068,226198872,87390965,74541949,19396687,115015455
6,Dhankawadi,24571,93120645,4000,39535200,522,5514550,532,12551176,29625,150721571,524685220,168988302,169527046,29899243,210656275
7,Dhayari,5912,20019927,868,15269646,268,1375900,118,4365750,7166,41031223,126990049,39052579,43688489,681005,48293781
8,Dhole Patil Road,23750,212924088,5085,299668196,865,32527813,353,48134005,30053,593254102,949023180,613470804,264424461,112108874,722554612
9,Ghole Road,21787,146125646,6648,430705290,309,9529728,632,39744620,29376,626105284,894712324,621811676,243551566,193713965,714737967
10,Hadapsar,79332,485869331,9561,496699800,2719,92119583,1384,66961474,92996,1141650188,1269180035,1120976824,379657504,446168449,1590802630
11,Hingne,8062,30487240,1091,9173100,174,1132200,128,2851450,9455,43643990,74122387,41055760,23478502,2364126,51601230
12,Kasba Peth,11482,34770322,4284,56609439,43,64593,1037,7818480,16846,99262834,229601284,129580809,69294241,28885992,155327810
13,Katraj,15260,58398228,1497,16579735,1416,7916800,527,11698550,18700,94593313,307975395,101974963,99647667,8026663,137117934
14,Kondhwa,23353,98116186,1829,30519875,1492,16994063,412,11413300,27086,157043424,758711070,177013812,248222755,4707957,199215269
15,Kothrud,62267,377839359,8636,231158865,1244,19344799,763,47462488,72910,675805511,713865452,725436189,222613404,161145569,787404899
16,Nagar Road(Vadgaonsheri),50725,483739140,6842,811610732,2003,85053340,1361,105941832,60931,1486345044,1156957722,1384405205,324952390,577656315,1793707607
17,Sahakar Nagar,38298,194625749,5300,95714615,1413,23382108,854,25735660,45865,339458132,535901374,359244793,150599308,87720488,442018725
18,Sangam Wadi,35686,172666551,2698,43193478,2111,31702392,677,24333730,41172,271896151,523280885,303636633,145059062,97678471,367410040
19,Tilak Road,43647,244176238,8489,200266466,1226,59516951,1261,27972956,54623,531932611,942718311,523802612,265425634,181565800,683405235
20,Vadgaon Bk,18794,65897790,1997,15642650,569,2494074,151,7091710,21511,91126224,237123514,87049240,71199537,2674925,94794311
21,Vadgaonsheri,13141,68992700,837,23603190,277,3220950,396,8243600,14651,104060440,163862510,108160265,54573592,24441787,141990531
22,Vishrambaug Wada,24148,94970471,12212,163134829,124,684316,1515,24725944,37999,283515560,291744783,298512586,87720627,84834905,361488612
23,Warje,48627,272062874,3987,68992620,2157,25844408,842,33494205,55613,400394107,556157398,431329887,159782487,90363418,528015682
24,Yewalewadi,2330,14354900,175,7788700,87,30209800,55,1743850,2647,54097250,24481032,19343241,4500362,22860427,45009476
